iter	Passed	Remaining
630	12380	7240
631	12398	7219
632	12415	7198
633	12434	7178
634	12453	7158
635	12472	7138
636	12491	7118
637	12511	7098
638	12529	7078
639	12549	7059
640	12569	7039
641	12586	7018
642	12606	6999
643	12626	6979
644	12646	6960
645	12666	6941
646	12688	6922
647	12706	6902
648	12724	6881
649	12742	6861
650	12762	6841
651	12781	6822
652	12800	6802
653	12820	6782
654	12838	6762
655	12856	6741
656	12876	6722
657	12898	6704
658	12919	6685
659	12940	6666
660	12958	6646
661	12978	6626
662	12997	6606
663	13016	6586
664	13036	6567
665	13054	6546
666	13072	6526
667	13091	6506
668	13111	6487
669	13130	6467
670	13148	6446
671	13168	6427
672	13187	6407
673	13208	6388
674	13225	6367
675	13243	6347
676	13263	6327
677	13285	6309
678	13306	6290
679	13324	6270
680	13344	6250
681	13363	6230
682	13384	6212
683	13406	6193
684	13426	6174
685	13447	6155
686	13465	6134
687	13483	6114
688	13503	6095
689	13522	6075
690	13540	6055
691	13558	6034
692	13577	6014
693	13596	5994
694	13614	5974
695	13632	5954
696	13652	5934
697	13670	5914
698	13689	5894
699	13707	5874
700	13725	5854
701	13746	5835
702	13765	5815
703	13784	5795
704	13804	5776
705	13823	5756
706	13842	5736
707	13862	5717
708	13880	5697
709	13898	5677
710	13918	5657
711	13938	5638
712	13957	5618
713	13975	5598
714	13995	5578
715	14014	5558
716	14032	5538
717	14051	5518
718	14070	5499
719	14089	5479
720	14110	5460
721	14128	5440
722	14147	5420
723	14165	5400
724	14183	5379
725	14201	5359
726	14223	5341
727	14244	5321
728	14262	5301
729	14280	5281
730	14298	5261
731	14317	5241
732	14338	5222
733	14356	5202
734	14377	5183
735	14397	5164
736	14417	5144
737	14436	5125
738	14456	5105
739	14475	5085
740	14493	5065
741	14513	5046
742	14533	5026
743	14551	5007
744	14570	4987
745	14589	4967
746	14608	4947
747	14628	4928
748	14649	4909
749	14669	4889
750	14688	4870
751	14708	4850
752	14725	4830
753	14748	4811
754	14767	4792
755	14788	4772
756	14808	4753
757	14826	4733
758	14844	4713
759	14863	4693
760	14884	4674
761	14903	4654
762	14923	4635
763	14944	4616
764	14963	4596
765	14982	4576
766	15003	4557
767	15022	4537
768	15041	4518
769	15060	4498
770	15078	4478
771	15096	4458
772	15116	4439
773	15135	4419
774	15154	4399
775	15173	4379
776	15192	4360
777	15213	4341
778	15230	4320
779	15249	4301
780	15267	4281
781	15286	4261
782	15307	4242
783	15327	4222
784	15346	4203
785	15365	4183
786	15383	4163
787	15400	4143
788	15418	4123
789	15439	4104
790	15458	4084
791	15478	4065
792	15498	4045
793	15519	4026
794	15537	4006
795	15555	3986
796	15574	3966
797	15593	3947
798	15614	3928
799	15635	3908
800	15655	3889
801	15676	3870
802	15693	3850
803	15712	3830
804	15731	3810
805	15750	3791
806	15770	3771
807	15790	3752
808	15809	3732
809	15828	3712
810	15848	3693
811	15865	3673
812	15884	3653
813	15903	3633
814	15923	3614
815	15944	3595
816	15962	3575
817	15980	3555
818	16000	3536
819	16020	3516
820	16045	3498
821	16065	3478
822	16084	3459
823	16103	3439
824	16123	3420
825	16150	3402
826	16173	3383
827	16196	3364
828	16218	3345
829	16238	3326
830	16258	3306
831	16278	3287
832	16297	3267
833	16317	3247
834	16335	3228
835	16354	3208
836	16374	3188
837	16392	3168
838	16412	3149
839	16432	3129
840	16451	3110
841	16471	3090
842	16489	3070
843	16507	3051
844	16526	3031
845	16547	3012
846	16567	2992
847	16589	2973
848	16608	2953
849	16627	2934
850	16646	2914
851	16665	2894
852	16684	2875
853	16704	2855
854	16722	2836
855	16740	2816
856	16759	2796
857	16777	2776
858	16796	2757
859	16813	2737
860	16834	2717
861	16854	2698
862	16874	2678
863	16893	2659
864	16912	2639
865	16932	2620
866	16952	2600
867	16972	2580
868	16990	2561
869	17010	2541
870	17032	2522
871	17051	2502
872	17070	2483
873	17089	2463
874	17109	2444
875	17127	2424
876	17149	2405
877	17168	2385
878	17185	2365
879	17204	2346
880	17224	2326
881	17242	2306
882	17261	2287
883	17279	2267
884	17299	2247
885	17316	2228
886	17336	2208
887	17355	2189
888	17374	2169
889	17393	2149
890	17413	2130
891	17432	2110
892	17452	2091
893	17470	2071
894	17489	2051
895	17507	2032
896	17526	2012
897	17544	1992
898	17564	1973
899	17583	1953
900	17602	1934
901	17621	1914
902	17641	1895
903	17660	1875
904	17681	1856
905	17702	1836
906	17721	1817
907	17740	1797
908	17759	1777
909	17779	1758
910	17799	1738
911	17819	1719
912	17838	1699
913	17857	1680
914	17875	1660
915	17892	1640
916	17911	1621
917	17930	1601
918	17951	1582
919	17970	1562
920	17989	1543
921	18009	1523
922	18029	1504
923	18049	1484
924	18068	1465
925	18088	1445
926	18107	1425
927	18126	1406
928	18145	1386
929	18163	1367
930	18182	1347
931	18200	1327
932	18219	1308
933	18237	1288
934	18257	1269
935	18276	1249
936	18296	1230
937	18315	1210
938	18334	1191
939	18354	1171
940	18374	1152
941	18395	1132
942	18415	1113
943	18434	1093
944	18455	1074
945	18473	1054
946	18493	1035
947	18511	1015
948	18530	995
949	18550	976
950	18569	956
951	18588	937
952	18607	917
953	18627	898
954	18647	878
955	18666	859
956	18683	839
957	18701	819
958	18720	800
959	18739	780
960	18757	761
961	18776	741
962	18794	722
963	18814	702
964	18835	683
965	18854	663
966	18872	644
967	18889	624
968	18909	604
969	18929	585
970	18949	565
971	18969	546
972	18988	526
973	19008	507
974	19026	487
975	19046	468
976	19064	448
977	19082	429
978	19101	409
979	19120	390
980	19138	370
981	19157	351
982	19176	331
983	19196	312
984	19214	292
985	19236	273
986	19256	253
987	19277	234
988	19295	214
989	19313	195
990	19331	175
991	19352	156
992	19371	136
993	19390	117
994	19409	97
995	19431	78
996	19451	58
997	19470	39
998	19490	19
999	19512	0
